,lsoa_code,lsoa_name_1,lsoa_name_2,middle_layer_super_output_area_msoa_code,middle_layer_super_output_area_msoa_name,local_authority_la_code,local_authority_la_name,rural_urban_settlement_classification_ru_code,rural_urban,rural_urban_settlement_classification_ru_name,built_up_area_bua_code,built_up_area_bua_name,economic_region_economic_action_plan_area_eap_code,number_of_children_0_to_5_2020,number_of_births_2020_to_mothers_24_and_under_years,number_of_births_2020_to_mothers_25_to_34_years,number_of_births_2020_to_mothers_35_and_over_years,total_number_of_births_2020,population_2020_all_ages,birth_rate_per_1000_2020,number_of_births_2019_to_mothers_24_and_under_years,number_of_births_2019_to_mothers_25_to_34_years,number_of_births_2019_to_mothers_35_and_over_years,total_number_of_births_2019,population_2019_all_ages,birth_rate_per_1000_2019,median_age_2019,number_of_births_2018_to_mothers_24_and_under_years,number_of_births_2018_to_mothers_25_to_34_years,number_of_births_2018_to_mothers_35_and_over_years,total_number_of_births_2018,population_2018_all_ages,birth_rate_per_1000_2018,number_of_births_2017_to_mothers_24_and_under_years,number_of_births_2017_to_mothers_25_to_34_years,number_of_births_2017_to_mothers_35_and_over_years,total_number_of_births_2017,population_2017_all_ages,birth_rate_per_1000_2017,wimd_decile,wimd_income_deprivation_count_0_to_4,wimd_income_domain_deciles,wimd_income_domain_people_in_income_deprivation_percentage,wimd_employment_domain_deciles,wimd_employment_domain_working_age_people_in_employment_deprivation_percentage,wimd_health_domain_deciles,wimd_health_domain_gp_recorded_chronic_condition_rate_per_100,wimd_health_domain_limiting_long_term_illness_rate_per_100,"wimd_health_domain_premature_death_rate_per_100,000",wimd_health_domain_gp_recorded_mental_health_condition_rate_per_100,"wimd_health_domain_cancer_incidence_rate_per_100,000",wimd_health_domain_low_birth_weight_live_single_births_less_than_2.5kg_percentage,wimd_health_domain_children_aged_4_to_5_who_are_obese_percentage,wimd_education_domain_deciles,wimd_education_domain_foundation_phase_average_point_score,wimd_education_domain_key_stage_2_average_point_score,wimd_education_domain_key_stage_4_average_point_score,wimd_education_domain_repeat_absenteeism_percentage,wimd_education_domain_key_stage_4_leavers_entering_higher_education_percentage,wimd_education_domain_adults_aged_25_to_64_with_no_qualifications_percentage,wimd_access_to_services_domain_deciles,wimd_access_to_services_domain_percentage_unavailability_of_broadband_at_30mb_s,wimd_access_to_services_domain_average_public_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_petrol_station_mins,wimd_housing_domain_deciles,wimd_housing_domain_people_in_overcrowded_households_percentage,wimd_housing_domain_likelihood_of_poor_quality_housing_percentage,wimd_housing_domain_likelihood_of_housing_containing_serious_hazards_percentage,wimd_housing_domain_likelihood_of_housing_being_in_disrepair_percentage,wimd_physical_environment_domain_deciles,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_no2,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_<_10_µm,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_<_2.5_µm,wimd_physical_environment_domain_households_at_risk_of_flooding_score,wimd_physical_environment_domain_proximity_to_accessible_natural_green_space_score_percentage_of_households,wimd_physical_environment_domain_ambient_green_space_score,wimd_community_safety_domain_deciles,wimd_community_safety_domain_police_recorded_criminal_damage_rate_per_100,wimd_community_safety_domain_police_recorded_violent_crime_rate_per_100,wimd_community_safety_domain_anti_social_behaviour_rate_per_100,wimd_community_safety_domain_police_recorded_burglary_rate_per_100,wimd_community_safety_domain_police_recorded_theft_rate_per_100,wimd_community_safety_domain_fire_incidences_rate_per_100,change_birth_rates_18_to_20,change_birth_rates_17_to_20,birthrate_categories_2020,mean_fpp_score,Mean FPP Score,fpp_mean_difference,fpp_performance_vsmean,fpp_mean_difference_category
818,W01000851,St. Thomas 3,Swansea 021C,W02000188,Swansea 021,W06000011,Swansea,C1,Urban,Large Town (Less Sparse),W38000128,Swansea BUASD,WXX000002,110,0,15,2,17,"1,666",10.2,4,11,7,22,"1,649",13.34,35.5,2,11,3,16,"1,612",9.93,2,6,2,10,"1,594",6.27,5,27.44,4,17,4,11,5,15,27.5,297.7,24.1,522.9,2.3,,4,96,86,125,4.7,19.7,25.4,5,0,23,22,29,28,24,24,33,44,4,4,7,5,3,3,7,10,8,3,6.67,22.1,19.8,4.4,8,13.8,11.2,7.6,2.1,100,0.111,6,0.8,2.06,1.95,,0.73,2.63,Other,Other,Quintile 4,103.6368421,104,-7.636842105,Underperforming,0
524,W01000550,Tregaron,Ceredigion 011G,W02000421,Ceredigion 011,W06000008,Ceredigion,E2,Rural,"Village, Hamlet and Isolated Dwellings (Sparse)",Small,Dispersed (not in a BUA),WXX000002,67,3,3,2,8,"1,250",6.4,2,5,0,7,"1,228",5.7,52.1,2,9,3,14,"1,219",11.48,1,8,2,11,"1,177",9.35,5,16.24,6,14,5,11,7,13.1,19.2,402.2,15.6,535.1,9.6,,4,95,86,119,4.2,29.9,21.6,2,19.9,49,46,49,100,52,127,52,48,4,4,4,20,4,42,4,4,4,5,2.34,35.4,33.2,3.9,4,3.3,7.8,5.3,29.9,61.9,-0.093,3,1.87,1.97,1.79,,,,Other,Other,Quintile 2,103.6368421,104,-8.636842105,Underperforming,0
45,W01000048,Abermaw 1,Gwynedd 016A,W02000025,Gwynedd 016,W06000002,Gwynedd,D2,Rural,Small Town and Fringe (Sparse),W37000293,Barmouth BUA,WXX000001,77,1,4,2,7,"1,382",5.07,3,8,1,12,"1,391",8.63,50,2,5,2,9,"1,367",6.58,1,8,3,12,"1,390",8.63,5,15.18,5,15,6,9,6,13.1,21.4,455.4,20.5,748.5,3.9,,4,93,89,119,3.5,9.5,21,2,13.6,36,31,35,35,31,36,36,103,8,6,8,8,5,7,6,42,7,7,3.12,18,16.8,2.8,7,3.2,7.3,4.9,37.9,85.7,0.378,6,0.81,2.38,2.21,0.62,,,Other,Other,Quintile 1 (lowest),103.6368421,104,-10.63684211,Underperforming,0
1675,W01001721,Cathays 4,Cardiff 032A,W02000398,Cardiff 032,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000130,Cardiff BUASD,WXX000003,29,1,6,2,9,"2,927",3.07,3,3,2,8,"2,999",2.67,21.5,1,4,0,5,"2,922",1.71,0,4,0,4,"3,050",1.31,5,12.6,10,5,10,2,6,18.3,19.8,334.5,14.7,610.8,2.6,,1,87,82,95,7.3,22.4,11.3,3,14.8,22,20,24,27,28,33,22,35,3,2,4,5,6,5,3,6,3,1,10.75,21.1,19.2,4.6,3,18,12.9,8.8,2.1,95.9,-0.033,8,0.51,1,1.79,0.38,0.79,,Consistently increasing,Increasing (2017-20),Quintile 1 (lowest),103.6368421,104,-16.63684211,Underperforming,0
1889,W01001939,Cathays 10,Cardiff 032F,W02000398,Cardiff 032,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000130,Cardiff BUASD,WXX000003,55,1,7,1,9,"1,885",4.77,2,7,1,10,"1,661",6.02,25.1,5,5,1,11,"1,306",8.42,2,8,3,13,"1,262",10.3,5,3.01,10,2,10,2,10,12.4,12.3,365.4,11.6,439,7.4,,3,83,62,112,6.6,23.1,3.5,2,36.7,20,18,23,24,27,28,30,49,3,1,5,5,6,7,6,16,8,3,10.39,13.5,11.3,3.4,1,24.4,14.6,9.4,31,59.1,-0.149,1,13.06,76.84,125.91,2.01,25.51,3.01,Consistently decreasing,Decreasing (2017-20),Quintile 1 (lowest),103.6368421,104,-20.63684211,Underperforming,0
1872,W01001922,Cathays 9,Cardiff 032E,W02000398,Cardiff 032,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000130,Cardiff BUASD,WXX000003,3,0,0,0,0,"2,036",0,0,2,1,3,"1,965",1.53,21.3,1,0,0,1,"2,007",0.5,1,3,1,5,"2,097",2.38,5,3.04,10,3,10,1,9,12.6,15.2,314.4,14.4,527.2,6.8,,2,,,,11.1,14.3,12.4,3,0.3,20,18,18,21,27,30,25,43,4,1,2,3,5,8,5,11,9,1,13.55,22.2,19.6,5.3,1,21.6,14.1,9.7,2.1,50.7,-0.116,5,0.98,1.67,3.96,0.81,0.67,,Other,Other,Quintile 1 (lowest),103.6368421,104,,Underperforming,
1448,W01001487,Blaenavon 1,Torfaen 001A,W02000323,Torfaen 001,W06000020,Torfaen,D1,Rural,Small Town and Fringe (Less Sparse),W37000366,Blaenavon BUA,WXX000003,102,2,11,1,14,"1,691",8.28,8,13,4,25,"1,720",14.53,42.7,2,15,2,19,"1,685",11.28,5,9,4,18,"1,635",11.01,4,28.29,3,20,3,13,5,15.1,23.1,453.3,23.7,579.2,6.4,,3,100,83,114,6.8,24.8,20.8,7,2.3,21,25,23,25,24,30,24,44,3,4,3,4,5,5,3,19,6,8,3.68,14.3,13.3,2.8,3,6.2,10.7,7.3,50.3,96.1,0.115,2,1.94,3.88,2.78,1.23,0.45,0.38,Other,Other,Quintile 3,103.2931937,103,-3.293193717,Underperforming,1
159,W01000167,Mochdre,Conwy 011C,W02000037,Conwy 011,W06000003,Conwy,C1,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,134,5,10,2,17,"1,999",8.5,5,18,5,28,"1,999",14.01,41.2,2,16,4,22,"2,015",10.92,8,19,3,30,"1,996",15.03,4,41.31,3,20,4,12,4,14.6,22.9,533,25.1,616.2,5.5,,2,99,84,103,9.3,33,22.8,7,0.6,29,21,29,20,22,32,43,40,6,3,6,3,2,12,10,14,8,3,7.55,17.1,15.5,2.9,8,8,8.5,5.5,22.3,55.6,0.308,4,1.13,3.52,2.75,0.84,,0.25,Other,Other,Quintile 3,103.2931937,103,-4.293193717,Underperforming,0
168,W01000176,Pensarn 1,Conwy 011D,W02000037,Conwy 011,W06000003,Conwy,C1,Urban,Large Town (Less Sparse),W38000142,Llandudno Junction BUASD,WXX000001,148,8,8,3,19,"1,831",10.38,11,16,1,28,"1,775",15.77,37,2,16,5,23,"1,743",13.2,7,12,2,21,"1,732",12.12,4,33.35,4,18,5,10,4,14.3,22.2,582.9,25,755.2,3.8,,3,99,83,113,7.3,25,19.3,9,0.1,21,19,21,20,30,38,28,47,2,2,2,2,7,9,6,12,6,3,6.35,20.8,18.8,4.4,7,9,8.3,5.5,31.9,100,0.24,3,1.4,3.3,4.32,1.09,0.36,,Other,Other,Quintile 4,103.2931937,103,-4.293193717,Underperforming,0
868,W01000901,Bryn and Cwmavon 4,Neath Port Talbot 014D,W02000212,Neath Port Talbot 014,W06000012,Neath Port Talbot,D1,Rural,Small Town and Fringe (Less Sparse),W37000164,Cwmavon BUA,WXX000002,124,2,19,0,21,"1,740",12.07,6,11,2,19,"1,701",11.17,45,3,14,2,19,"1,690",11.24,4,17,3,24,"1,731",13.86,4,53.5,3,21,3,14,3,16,28.3,430.1,24.8,684.2,4.4,,3,99,81,118,7.2,26.4,23.9,7,0.1,23,20,25,25,28,26,36,64,4,2,5,4,5,5,6,18,13,7,4.4,15,13.3,2.2,8,8.5,10.2,6.9,14.9,86.1,0.146,7,0.71,1.72,1.19,0.62,0.3,0.29,Other,Other,Quintile 5 (highest),103.2931937,103,-4.293193717,Underperforming,0
1290,W01001329,Abercarn 3,Caerphilly 014C,W02000303,Caerphilly 014,W06000018,Caerphilly,C1,Urban,Large Town (Less Sparse),W38000007,Abercarn BUASD,WXX000003,116,2,9,3,14,"1,618",8.65,4,10,3,17,"1,591",10.69,39.2,3,10,2,15,"1,581",9.49,3,12,1,16,"1,585",10.09,4,26.68,5,16,5,10,4,15.7,28.1,445.9,21.8,540.8,4.4,,2,99,81,116,9.4,28.1,22.3,9,0.7,20,18,27,18,20,25,27,26,2,2,6,2,2,6,4,4,10,2,6.47,29.5,26.5,5.4,8,9.1,10.9,7.5,9.2,100,0.129,4,1.69,1.33,2.55,,,0.35,Other,Other,Quintile 3,103.2931937,103,-4.293193717,Underperforming,0
350,W01000360,Chirk North 2,Wrexham 019D,W02000096,Wrexham 019,W06000006,Wrexham,D1,Rural,Small Town and Fringe (Less Sparse),K05000004,Chirk BUA,WXX000001,84,4,4,1,9,"1,246",7.22,4,10,3,17,"1,244",13.67,42.3,4,7,1,12,"1,275",9.41,2,4,1,7,"1,255",5.58,4,18.25,5,16,5,11,4,16,22.1,528.9,23.6,724.2,3.4,,1,98,83,94,7.7,9.1,31.9,6,0.2,28,19,28,24,27,24,24,61,6,2,6,5,5,3,3,15,11,6,6.29,13.1,11.9,2.8,3,8.9,12.9,9.3,2.1,100,0.25,7,0.74,2.21,1.6,0.84,,,Other,Other,Quintile 2,103.2931937,103,-5.293193717,Underperforming,0
1192,W01001229,Porth 1,Rhondda Cynon Taf 017B,W02000268,Rhondda Cynon Taf 017,W06000016,Rhondda Cynon Taf,C1,Urban,Large Town (Less Sparse),W38000145,Porth BUASD,WXX000003,94,3,8,2,13,"1,374",9.46,4,12,1,17,"1,384",12.28,41.8,1,7,1,9,"1,399",6.43,4,6,1,11,"1,427",7.71,4,23.28,5,16,4,12,5,16.9,24.4,243.1,20.7,766.3,5.4,,4,98,85,117,6.5,30.1,20.2,8,0,21,22,22,25,19,27,27,30,3,2,3,4,2,5,6,7,5,3,3.98,31.9,28.5,6.3,2,12.4,11.4,7.9,35.1,85.7,0.102,4,1.26,3.64,3.24,1.3,0.45,,Other,Other,Quintile 3,103.2931937,103,-5.293193717,Underperforming,0
776,W01000809,Morriston 4,Swansea 008A,W02000175,Swansea 008,W06000011,Swansea,C1,Urban,Large Town (Less Sparse),W38000128,Swansea BUASD,WXX000002,112,5,13,1,19,"1,555",12.22,1,14,3,18,"1,558",11.55,39.6,4,9,3,16,"1,576",10.15,5,7,0,12,"1,565",7.67,4,21.06,4,17,4,13,3,18,25.1,445.1,24.9,523,3.9,,4,97,88,117,4.6,21.9,18.9,8,5.9,19,20,20,21,23,21,30,31,3,3,3,5,4,5,10,8,9,3,5.92,23,20.8,4.5,4,12.5,10.9,7.4,27.8,92,0.097,3,1.64,2.54,3.38,1.6,0.59,0.67,Consistently increasing,Increasing (2017-20),Quintile 5 (highest),103.2931937,103,-6.293193717,Underperforming,0
1788,W01001837,Plasnewydd 9,Cardiff 030C,W02000396,Cardiff 030,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000130,Cardiff BUASD,WXX000003,85,1,12,4,17,"1,692",10.05,4,8,5,17,"1,647",10.32,23.2,1,6,2,9,"1,592",5.65,6,14,1,21,"1,654",12.7,4,16.8,6,13,8,6,5,16.4,20.8,484.4,20.7,520,4.8,,4,97,79,120,4,32,20.4,3,0.2,24,20,24,24,20,29,28,40,4,2,4,4,3,6,6,11,12,1,14.06,23.1,20.9,5.1,1,20.5,13.8,9.7,2.1,30.3,-0.146,5,0.93,2.04,2.73,1.14,0.95,,Other,Other,Quintile 4,103.2931937,103,-6.293193717,Underperforming,0
917,W01000950,Port Talbot 2,Neath Port Talbot 018B,W02000216,Neath Port Talbot 018,W06000012,Neath Port Talbot,C1,Urban,Large Town (Less Sparse),W38000144,Port Talbot BUASD,WXX000002,89,3,10,2,15,"1,544",9.72,4,8,2,14,"1,554",9.01,40.1,5,12,0,17,"1,524",11.15,3,16,2,21,"1,528",13.74,4,27.54,5,17,4,13,5,15.7,25.3,302.5,22.9,602,6.2,,3,96,84,116,8.3,27.7,19.1,5,0,22,19,35,23,28,23,46,45,4,2,10,4,5,4,12,9,3,2,4.13,35.2,31.4,6.9,2,15.7,12.1,7.9,44.9,100,0.049,4,1.17,2.49,2.66,1.55,0.53,0.69,Other,Other,Quintile 4,103.2931937,103,-7.293193717,Underperforming,0
1902,W01001952,Butetown 8,Cardiff 049F,W02000423,Cardiff 049,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000130,Cardiff BUASD,WXX000003,66,3,11,3,17,"2,149",7.91,4,13,5,22,"1,876",11.73,30.2,2,9,4,15,"1,818",8.25,1,10,0,11,"1,872",5.88,3,11.16,4,17,3,14,5,13.3,23.8,705.6,20.3,419.4,3.8,,6,98,82,128,4.4,30.4,10,4,2.7,26,21,26,30,26,32,38,58,6,2,5,5,4,8,7,19,4,4,16.34,7.5,6.5,1.2,1,19.7,13.2,8.7,32.1,96.9,-0.126,1,3.4,10.38,15.51,2.01,3.2,0.69,Other,Other,Quintile 2,102.7225131,103,-4.722513089,Underperforming,0
320,W01000328,Queensferry,Flintshire 011C,W02000068,Flintshire 011,W06000005,Flintshire,C1,Urban,Large Town (Less Sparse),W38000096,Sandycroft BUASD,WXX000001,146,8,13,2,23,"2,191",10.5,7,11,2,20,"2,164",9.24,38.1,11,14,4,29,"2,114",13.72,6,20,4,30,"2,154",13.93,3,44.1,4,18,6,8,3,19.3,23.1,496.8,21.8,840.6,5.8,,1,97,85,116,19.8,13.5,20.7,5,6.4,27,21,30,19,26,32,29,61,7,3,6,2,4,9,7,12,9,1,11.33,21.2,19.7,3.6,2,12.3,11,7.4,58.3,84.5,0.12,2,1.89,3.38,4.5,0.97,1.1,0.86,Other,Other,Quintile 4,102.7225131,103,-5.722513089,Underperforming,0
352,W01000362,Coedpoeth 1,Wrexham 006C,W02000083,Wrexham 006,W06000006,Wrexham,D1,Rural,Small Town and Fringe (Less Sparse),W37000356,Coedpoeth BUA,WXX000001,138,5,9,3,17,"1,595",10.66,5,11,4,20,"1,602",12.48,36,7,12,6,25,"1,637",15.27,6,13,6,25,"1,629",15.35,3,53.96,2,24,4,13,4,14.6,25.1,548.4,31.4,613,6.9,,1,97,84,109,8.9,11.9,29.1,7,0,22,19,21,20,20,23,31,58,5,2,3,6,4,4,6,11,6,4,9.94,12,10.6,1.9,10,5.8,9.5,6.3,5.4,71.4,0.214,1,3.46,3.45,4.62,2.27,0.87,,Consistently decreasing,Decreasing (2017-20),Quintile 4,102.7225131,103,-5.722513089,Underperforming,0
371,W01000381,Hermitage 1,Wrexham 012A,W02000089,Wrexham 012,W06000006,Wrexham,C1,Urban,Large Town (Less Sparse),W38000001,Wrexham BUASD,WXX000001,62,0,6,1,7,"1,088",6.43,4,4,4,12,"1,078",11.13,43,4,8,1,13,"1,133",11.47,1,12,3,16,"1,088",14.71,3,19.25,4,20,4,13,3,18.6,24.4,502.4,27.7,706.9,5.5,,3,97,80,112,6.2,31.5,22,4,0,25,22,24,24,27,36,65,25,4,2,3,3,3,12,8,3,4,2,7.64,21.2,18.9,3.9,10,9.6,10.3,7.1,2.1,98.2,0.158,3,1.43,4.06,2.89,1.92,0.69,,Consistently decreasing,Decreasing (2017-20),Quintile 2,102.7225131,103,-5.722513089,Underperforming,0
716,W01000746,Castle 5,Swansea 025C,W02000192,Swansea 025,W06000011,Swansea,C1,Urban,Large Town (Less Sparse),W38000128,Swansea BUASD,WXX000002,66,5,6,4,15,"1,689",8.88,1,6,4,11,"1,730",6.36,31,4,13,5,22,"1,755",12.54,6,6,1,13,"1,750",7.43,3,34.79,3,22,4,12,7,11.8,24.3,328.9,22.2,565.8,6.4,,2,97,78,108,8.5,22.7,17.6,2,0,28,20,28,28,23,38,33,46,6,3,6,4,2,6,6,12,11,1,7.84,32,29.6,7,6,13.5,11.1,7.6,2.1,82.6,0.069,2,1.74,3.41,3.61,1.47,1.32,0.46,Other,Other,Quintile 3,102.7225131,103,-5.722513089,Underperforming,0
887,W01000920,Cymmer (Neath Port Talbot) 1,Neath Port Talbot 011A,W02000209,Neath Port Talbot 011,W06000012,Neath Port Talbot,C1,Urban,Large Town (Less Sparse),Small,Dispersed (not in a BUA),WXX000002,64,3,7,0,10,"1,200",8.33,6,5,2,13,"1,229",10.58,46.8,3,3,2,8,"1,233",6.49,5,7,1,13,"1,262",10.3,3,19.44,3,20,3,15,1,21.4,29.9,562.7,26.3,720.8,4.1,,2,97,85,108,4.3,17.9,32,4,18.9,28,31,29,32,26,29,39,33,4,5,5,5,4,5,5,5,29,3,5.81,24.1,22.1,5.1,6,5.8,9.6,6.4,34,99.8,0.197,8,0.43,1.3,1.69,,,0.99,Other,Other,Quintile 3,102.7225131,103,-5.722513089,Underperforming,0
932,W01000965,Seven Sisters,Neath Port Talbot 002C,W02000200,Neath Port Talbot 002,W06000012,Neath Port Talbot,D1,Rural,Small Town and Fringe (Less Sparse),W37000211,Seven Sisters BUA,WXX000002,141,4,8,0,12,"2,107",5.7,5,12,1,18,"2,067",8.71,45.1,3,10,3,16,"2,088",7.66,5,12,2,19,"2,103",9.03,3,44.77,4,19,3,14,3,18.3,28.9,406.3,24.6,555.7,5.1,,2,97,84,101,7.4,24.8,30.8,6,9.6,25,21,24,21,20,22,100,63,7,3,7,3,3,3,21,23,20,5,4.49,20.6,18.8,4.1,6,4.7,9.5,6.4,32,93.4,0.143,7,0.63,1.63,1.55,0.66,,0.86,Other,Other,Quintile 1 (lowest),102.7225131,103,-5.722513089,Underperforming,0
1174,W01001211,Penrhiwceiber 3,Rhondda Cynon Taf 008C,W02000259,Rhondda Cynon Taf 008,W06000016,Rhondda Cynon Taf,C1,Urban,Large Town (Less Sparse),W37000129,Mountain Ash BUA,WXX000003,103,6,12,4,22,"1,633",13.47,6,8,1,15,"1,629",9.21,39.4,7,10,3,20,"1,629",12.28,6,10,2,18,"1,671",10.77,3,45,2,24,3,15,2,17.4,29.6,480,25.3,571.6,5.4,,3,97,87,119,5.8,23.2,34.6,4,0,24,22,22,29,20,28,36,48,5,2,3,5,2,5,9,10,8,2,5.09,33.9,31.3,6.2,5,7.8,10.6,7.3,25.6,95.6,0.085,7,0.6,1.86,2.24,,,,Other,Other,Quintile 5 (highest),102.7225131,103,-5.722513089,Underperforming,0
1249,W01001287,Ystrad 3,Rhondda Cynon Taf 014F,W02000265,Rhondda Cynon Taf 014,W06000016,Rhondda Cynon Taf,C1,Urban,Large Town (Less Sparse),W38000065,Rhondda BUASD,WXX000003,68,4,8,1,13,"1,453",8.95,5,14,0,19,"1,441",13.19,43.9,7,6,2,15,"1,428",10.5,5,12,1,18,"1,416",12.71,3,25.42,2,24,3,14,2,19.2,28.2,443.4,25.1,667,5.6,,2,97,86,106,8.1,29.4,33.1,7,0.1,21,21,24,21,19,39,30,44,3,2,5,2,2,13,7,16,5,3,5.56,23.5,22.1,4.4,3,6.9,10.5,7,54.4,100,0.101,4,0.94,3.64,2.74,0.92,0.43,0.42,Other,Other,Quintile 3,102.7225131,103,-5.722513089,Underperforming,0
889,W01000922,Dyffryn 1,Neath Port Talbot 007C,W02000205,Neath Port Talbot 007,W06000012,Neath Port Talbot,C1,Urban,Large Town (Less Sparse),W38000135,Neath BUASD,WXX000002,98,3,10,0,13,"1,573",8.26,7,15,5,27,"1,597",16.91,43.9,4,6,1,11,"1,588",6.93,3,7,3,13,"1,564",8.31,3,29.26,3,21,2,16,2,17.7,30.5,507.9,28.2,606.2,3.6,,4,94,85,116,4.3,29,25,4,0.4,30,21,30,33,32,31,62,48,6,2,7,6,5,6,9,11,5,3,7.6,17.6,15.7,3.1,2,11.7,10.5,7.1,46,48.8,0.139,7,0.59,1.64,1.71,0.94,0.57,,Other,Other,Quintile 3,102.7225131,103,-8.722513089,Underperforming,0
801,W01000834,Penderry 5,Swansea 011D,W02000178,Swansea 011,W06000011,Swansea,C1,Urban,Large Town (Less Sparse),W38000128,Swansea BUASD,WXX000002,109,10,13,2,25,"1,612",15.51,5,10,4,19,"1,615",11.76,35.4,6,14,1,21,"1,576",13.32,9,9,2,20,"1,551",12.89,2,46.36,1,33,2,16,2,18.5,30.9,510.3,24.8,665.6,6.1,,1,97,84,102,12.6,13.9,37.9,3,0.2,27,20,33,30,26,30,27,28,5,2,7,7,4,5,5,5,5,7,6.54,10.5,9.7,1.3,8,8.7,10.4,7,8.9,83.1,0.126,4,1.24,3.24,3.36,0.73,0.54,1.23,Other,Other,Quintile 5 (highest),102.0890052,102,-5.089005236,Underperforming,0
909,W01000942,Neath South 2,Neath Port Talbot 012C,W02000210,Neath Port Talbot 012,W06000012,Neath Port Talbot,C1,Urban,Large Town (Less Sparse),W38000135,Neath BUASD,WXX000002,137,3,6,2,11,"1,956",5.62,7,10,1,18,"1,948",9.24,37,7,14,2,23,"1,924",11.95,7,8,0,15,"1,888",7.94,2,58.5,2,28,1,21,2,16.8,31.6,503.7,29.2,646.2,4.9,,1,97,83,99,7.7,24,32.5,2,0,31,21,32,28,23,32,61,29,8,3,8,6,3,8,8,7,12,6,7.84,10.2,9.1,1.9,8,9.5,10.4,7.1,4.8,70.4,0.115,6,0.98,2.7,1.71,,0.29,,Consistently decreasing,Decreasing (2018-20),Quintile 1 (lowest),102.0890052,102,-5.089005236,Underperforming,0
958,W01000993,Caerau (Bridgend) 3,Bridgend 001C,W02000218,Bridgend 001,W06000013,Bridgend,C1,Urban,Large Town (Less Sparse),W38000016,Maesteg BUASD,WXX000003,112,8,7,3,18,"1,465",12.29,7,11,0,18,"1,493",12.06,38.3,6,10,2,18,"1,500",12,5,12,1,18,"1,527",11.79,2,60.95,1,30,1,20,1,20,36.3,402.8,34,712.5,4.2,,2,97,81,98,3,24.2,37.6,6,0.3,20,20,20,22,24,33,36,41,2,2,3,3,4,11,9,11,19,4,4.13,26.3,24.1,5.8,5,6.8,10.1,6.9,36.4,100,0.09,5,0.86,2.84,1.71,0.8,,1,Consistently increasing,Increasing (2017-20),Quintile 5 (highest),102.0890052,102,-5.089005236,Underperforming,0
897,W01000930,Gwynfi,Neath Port Talbot 011D,W02000209,Neath Port Talbot 011,W06000012,Neath Port Talbot,D1,Rural,Small Town and Fringe (Less Sparse),Small,Dispersed (not in a BUA),WXX000002,88,4,7,0,11,"1,310",8.4,5,2,2,9,"1,288",6.99,42.1,2,6,0,8,"1,304",6.13,7,8,2,17,"1,338",12.71,2,38.72,2,27,2,17,1,18.7,36.7,501.1,29,696.4,5,,1,96,80,109,8.8,12.9,37.3,6,3.9,20,20,22,20,23,20,21,58,2,2,3,2,3,2,2,12,32,3,6.24,25.9,22.9,4.5,5,5.4,10.3,6.6,40.2,98.9,0.169,7,0.59,2.65,0.57,,,0.78,Consistently increasing,Increasing (2018-20),Quintile 3,102.0890052,102,-6.089005236,Underperforming,0
1237,W01001275,Tylorstown 2,Rhondda Cynon Taf 013C,W02000264,Rhondda Cynon Taf 013,W06000016,Rhondda Cynon Taf,C1,Urban,Large Town (Less Sparse),W38000085,Tylorstown BUASD,WXX000003,120,6,9,0,15,"1,816",8.26,10,17,2,29,"1,819",15.94,35,4,18,3,25,"1,835",13.62,9,10,4,23,"1,799",12.78,2,66,2,26,2,18,2,18.7,29.7,525.4,24.5,730.2,12.6,,1,96,84,107,11.5,25.6,33,5,0.5,24,20,25,23,21,35,30,48,4,2,5,3,3,13,8,15,15,1,8.08,33.4,30.6,6.7,3,7.6,10.7,7.2,55,100,0.143,4,1.24,3.41,2.23,1.2,,0.69,Other,Other,Quintile 3,102.0890052,102,-6.089005236,Underperforming,0
